name,Y,X,image,video
Tuck Shop,-1.0969689,37.0123646,,
Tuck Shop,-1.0954707,37.0111859,,
,-1.1014395,37.0140601,,
,-1.098668,37.0117813,,
,-1.0961284,37.0126007,,
,-1.0961235,37.0137119,,
,-1.1007508,37.0143188,,
food science,-1.0946628,37.0131418,,
JKUAT clock tower,-1.0953352,37.0144291,,
JKUAT finance cash office,-1.0956071,37.0144711,,
studeez,-1.0943912,37.016273,,
JKUAT MOSQUE,-1.0956189,37.0114343,,
Dean of  Students Office,-1.0951772,37.0161134,,
jkuat hosp,-1.0964833,37.0128884,,
JKUAT NSC Cafeteria,-1.098862,37.0132085,,
Gate B,-1.0950822,37.0185766,,
Gate D,-1.091231,37.0185546,,
JKUAT Main Gate (Gate A),-1.1016374,37.0141696,,
Generator,-1.0983756,37.0129994,,
Tuck Shop,-1.0946239,37.0176571,,
Grocery shop,-1.0944795,37.0176929,,
,-1.0953413,37.0151931,,
Fundilima,-1.0957488,37.0115042,,
,-1.0950266,37.0130745,,
ALISO Office,-1.0950674,37.0143885,,
JKUAT Monument,-1.1001849,37.0143038,,
,-1.0943729,37.0164135,,
Hall 3,-1.0954212,37.0164546,,
KCB Bank,-1.1002006,37.0149034,,
AICAD Gym,-1.09683447596402,37.015652258838,,
Admin Block B,-1.0963932297487,37.0143765478439,,
Library,-1.09685515937876,37.0151247351026,,
ELB,-1.09630360160326,37.0136697349958,,
New Admin Block,-1.09709991310908,37.0140524482941,,
S.C.C,-1.09458586996246,37.0147860248602,,
C.L.B,-1.09512997377332,37.0141503272184,,
NCLB,-1.0943009934941,37.0132926294646,,
COANRE,-1.09433898095676,37.0140652190809,,
BEED,-1.0936164068471,37.014211497303,,
HRD/COHRED BUILDING,-1.09345735825311,37.0149227751582,,
SWIMMING POOL,-1.09212615074389,37.0150968936316,,
S.H.R.D,-1.09351408745356,37.013050864424,,
JKAC,-1.0936752657067,37.012277099167,,
IEET,-1.09363886246842,37.0118444972322,,
FABS,-1.09279811410846,37.0128717536076,,
FOOD SCIENCE BUILDING,-1.09471707743084,37.0139234929797,,
Transportation and Logistics building,-1.09461883629892,37.0125715682953,,
Engineering Workshop,-1.09522713632095,37.011985205382,,
IPIC,-1.09532756611666,37.0123880520674,,
Soil Lab (Civil Engineering Block),-1.09558522998028,37.0131875801813,,
EMB,-1.0955553338444,37.0138327062247,,
JKUAT Hospital,-1.0964852158999,37.0128862403709,,
Red Huts,-1.09291179427344,37.0130112140049,,
JKUAT Primary,-1.09413366793504,37.0093137603611,,
COHES BLD,-1.0996760736586,37.0131627894272,,
NSC,-1.09877294312652,37.0130747931079,,
NSC Lecture Theatre,-1.0990187351562,37.0134788880771,,
PAUSTI,-1.09851955703948,37.0141029808896,,
PAUSTI,-1.09801480544376,37.0138629969137,,
Rudby Pitch,-1.09058021007626,37.014603767067,,
Football Pitch,-1.09002947286659,37.0159076469141,,
Football Pitch B,-1.09196053833606,37.0166118814839,,
Lecturers Quaters,-1.09512850315225,37.0110816761595,,
Gradution Square,-1.09635485739985,37.0152287034086,,
AICAD,-1.09732202058902,37.0156087321066,,
JKUAT Botanical Garden (SAJOREC),-1.09282673096282,37.0119190644868,,
JKUAT DAM,-1.09268411778369,37.0184731612806,,
Old Students Centre,-1.09170648122661,37.0122675622734,,
Biotechnology Research Building,-1.09218780001281,37.0135686243832,,
Assembly Hall,-1.09531878345736,37.0150346680945,,
Nyayo Park,-1.09566826028805,37.0150089124625,,
Pine Park,-1.0958154084151,37.0138977409101,,
